wrong|correct
Det er ikke altid nemt at forsvarer din opførsel|Det er ikke altid nemt at forsvare din opførsel
Mange drenge interessere sig for fodbold|Mange drenge interesserer sig for fodbold
Vil du inviterer alle dine veninder til fødselsdagen?|Vil du invitere alle dine veninder til fødselsdagen?
Det er svært at vurderer hvor meget bilen er værd|Det er svært at vurdere hvor meget bilen er værd
Min lillesøster spekulere på meningen med livet|Min lillesøster spekulerer på meningen med livet
Jeg gide ikke at reparerer min cykel i dag|Jeg gider ikke at reparere min cykel i dag
Jeg spekulere på hvad jeg skal spiser til aftensmad|Jeg spekulerer på hvad jeg skal spise til aftensmad
Det har jeg svært ved at accepterer|Det har jeg svært ved at acceptere
Hvorfor forsvare du aldrig din bedste ven?|Hvorfor forsvarer du aldrig din bedste ven?
Hvordan vurdere du om du er forelsket?|Hvordan vurderer du om du er forelsket?
Du kan ikke lærer det hele på én dag|Du kan ikke lære det hele på én dag
Nu vil jeg op og smører mig en madpakke|Nu vil jeg op og smøre mig en madpakke
Senere køre jeg hen til dig med kombardo expressen|Senere kører jeg hen til dig med kombardo expressen
Jeg løbe til butikken|Jeg løber til butikken
Han spise sin mad|Han spiser sin mad
Hun læse en bog|Hun læser en bog
De finde en løsning|De finder en løsning
Vi drikke kaffe om morgenen|Vi drikker kaffe om morgenen
Du sidde ved siden af mig|Du sidder ved siden af mig
Jeg skrive en e-mail til min chef|Jeg skriver en e-mail til min chef
Han spille fodbold hver weekend|Han spiller fodbold hver weekend
De stå i kø ved kassen|De står i kø ved kassen
Hun male et billede til sin mor|Hun maler et billede til sin mor
Vi tage bussen til skolen|Vi tager bussen til skolen
Du lægge bogen på bordet|Du lægger bogen på bordet
Han flyve til paris i morgen|Han flyver til paris i morgen
De svømme i søen om sommeren|De svømmer i søen om sommeren
Hun høre musik på sin telefon|Hun hører musik på sin telefon
Vi gå en tur i parken|Vi går en tur i parken
Du give mig en gave på min fødselsdag|Du giver mig en gave på min fødselsdag
Han tage elevatoren op til kontoret|Han tager elevatoren op til kontoret
De løbe en tur hver morgen|De løber en tur hver morgen
Jeg lave mad til min familie|Jeg laver mad til min familie
Han læse avisen hver dag|Han læser avisen hver dag
Hun cykle til arbejde|Hun cykler til arbejde
De se en film i biografen|De ser en film i biografen
Vi spille brætspil om aftenen|Vi spiller brætspil om aftenen
Du skrive en liste over tingene|Du skriver en liste over tingene
Jeg hoppe over hækken|Jeg hopper over hækken
Han tale med sin ven i telefonen|Han taler med sin ven i telefonen
De arbejde hårdt hver dag|De arbejder hårdt hver dag
Hun kigge ud af vinduet|Hun kigger ud af vinduet
Jeg køre bil til arbejde|Jeg kører bil til arbejde
Vi spise morgenmad sammen|Vi spiser morgenmad sammen
Du bo i en stor by|Du bor i en stor by
Han gå en tur i parken|Han går en tur i parken
Hun lære at spiller guitar på youtube|Hun lærer at spille guitar på youtube
De rejse til udlandet hver sommer|De rejser til udlandet hver sommer
Jeg skrive en dagbog hver aften|Jeg skriver en dagbog hver aften
Han se en basketballkamp i fjernsynet|Han ser en basketballkamp i fjernsynet
Hun besøge sin bedstemor hver weekend|Hun besøger sin bedstemor hver weekend
Vi lære et nyt sprog på sprogskolen|Vi lærer et nyt sprog på sprogskolen
Du spille computer hver aften|Du spiller computer hver aften
Han arbejde på et kontor i byen|Han arbejder på et kontor i byen
De læse en spændende bog på stranden|De læser en spændende bog på stranden
Hun tage en tur i biografen med sine venner|Hun tager en tur i biografen med sine venner
Jeg besøge min familie i weekenden|Jeg besøger min familie i weekenden
Vi lave mad sammen hver søndag|Vi laver mad sammen hver søndag
Du se solnedgangen på stranden|Du ser solnedgangen på stranden
Han spise sushi til middag i går|Han spiser sushi til middag i går
Hun løbe en tur i parken om morgenen|Hun løber en tur i parken om morgenen
De tage billeder af seværdighederne på ferien|De tager billeder af seværdighederne på ferien
Vi drikke vin til aftensmaden|Vi drikker vin til aftensmaden
Du købe en ny bil|Du køber en ny bil
Han spille guitar i et band om aftenen|Han spiller guitar i et band om aftenen
Hun læse en bog på stranden i solskinnet|Hun læser en bog på stranden i solskinnet
De se en teaterforestilling i weekenden|De ser en teaterforestilling i weekenden
Jeg arbejde på mit projekt hele dagen|Jeg arbejder på mit projekt hele dagen
Han spise en pizza til frokost i dag|Han spiser en pizza til frokost i dag
Jeg kan godt lide at gør det|Jeg kan godt lide at gøre det
Jeg gøre det bare|Jeg gør det bare
Hun træne i fitness fem gange om ugen|Hun træner i fitness fem gange om ugen
Vi besøge vores bedsteforældre i weekenden|Vi besøger vores bedsteforældre i weekenden
De rejse til frankrig næste måned|De rejser til frankrig næste måned
Jeg studere på universitetet i fem år|Jeg studerer på universitetet i fem år
Han skal ser en god film på netflix|Han skal se en god film på netflix
Hun snakke i telefon med sin veninde hver dag|Hun snakker i telefon med sin veninde hver dag
De male deres hus i sommeren|De maler deres hus i sommeren
Jeg lære at spiller klaver|Jeg lærer at spille klaver
Han løbe en maraton for første gang i år|Han løber en maraton for første gang i år
Hun bage en lækker kage til sin fødselsdag|Hun bager en lækker kage til sin fødselsdag
Vi planlægge vores ferie i flere måneder|Vi planlægger vores ferie i flere måneder
De svømme i havet hver sommer|De svømmer i havet hver sommer
Jeg lytte til musik mens jeg arbejde|Jeg lytter til musik mens jeg arbejder
Han lære at tale spansk som voksen|Han lærer at tale spansk som voksen
Hun arbejde som læge på hospitalet|Hun arbejder som læge på hospitalet
De danse til musik hele natten|De danser til musik hele natten
Jeg rejse til japan for at oplever kulturen|Jeg rejser til japan for at opleve kulturen
Han spille fodbold med sine venner hver uge|Han spiller fodbold med sine venner hver uge
Hun male smukke billeder i sin fritid|Hun maler smukke billeder i sin fritid
Vi læse en spændende bog hver aften|Vi læser en spændende bog hver aften
De drikke kaffe på den lokale café hver morgen|De drikker kaffe på den lokale café hver morgen
Jeg skal ser en dokumentarfilm om naturen i aften|Jeg skal se en dokumentarfilm om naturen i aften
Han købe en gave til sin kæreste på hendes fødselsdag|Han køber en gave til sin kæreste på hendes fødselsdag
Hun rejse verden rundt som digital nomade|Hun rejser verden rundt som digital nomade
Vi gå en tur i skoven på en smuk eftermiddag|Vi går en tur i skoven på en smuk eftermiddag
De spille brætspil sammen hver søndag|De spiller brætspil sammen hver søndag
Jeg tage en tur til stranden for at nyder solen|Jeg tager en tur til stranden for at nyde solen
Han lave madlavning til sin familie i weekenden|Han laver madlavning til sin familie i weekenden
Jeg erklære europa-parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget|Jeg erklærer europa-parlamentets session, der blev afbrudt fredag den 17. december, for genoptaget
Endnu en gang vil jeg ønsker dem godt nytår, og jeg håbe, de har haft en god ferie|Endnu en gang vil jeg ønske dem godt nytår, og jeg håber, de har haft en god ferie
I mellemtiden ønske jeg - som også en del kolleger har anmodet om - at vi iagttage et minuts stilhed til minde om ofrene for bl|I mellemtiden ønsker jeg - som også en del kolleger har anmodet om - at vi iagttager et minuts stilhed til minde om ofrene for bl
Jeg opfordre dem til stående at iagttager et minuts stilhed|Jeg opfordrer dem til stående at iagttage et minuts stilhed
Ville det være passende, hvis de, fru formand, sendte en skrivelse til sri lankas præsident for at udtrykker vores dybe beklagelse i forbindelse med kumar ponnambalams død og de andre voldsomme dødsfald i sri lanka og for indtrængende at anmoder præsidenten om at gør alt for at opnår en fredelig løsning på en meget vanskelig situation?|Ville det være passende, hvis de, fru formand, sendte en skrivelse til sri lankas præsident for at udtrykke vores dybe beklagelse i forbindelse med kumar ponnambalams død og de andre voldsomme dødsfald i sri lanka og for indtrængende at anmode præsidenten om at gøre alt for at opnå en fredelig løsning på en meget vanskelig situation?
Evans, jeg mene, at et initiativ, som det, de foreslå, ville være meget hensigtsmæssigt|Evans, jeg mener, at et initiativ, som det, de foreslår, ville være meget hensigtsmæssigt
Hvis europa-parlamentet er enigt, vil jeg gør, som hr|Hvis europa-parlamentet er enigt, vil jeg gøre, som hr
Mit spørgsmål omhandle et emne, der vil bliver behandlet på torsdag, og jeg vil gerne tager emnet op igen ved den lejlighed|Mit spørgsmål omhandler et emne, der vil blive behandlet på torsdag, og jeg vil gerne tage emnet op igen ved den lejlighed
Betænkningen af cunha om flerårige udviklingsprogrammer skal forhandles af parlamentet på torsdag og indeholde et forslag i punkt 6 om, at der skal indføres kvotesanktioner for lande, der ikke overholde deres årlige målsætninger for flådereduktion|Betænkningen af cunha om flerårige udviklingsprogrammer skal forhandles af parlamentet på torsdag og indeholder et forslag i punkt 6 om, at der skal indføres kvotesanktioner for lande, der ikke overholder deres årlige målsætninger for flådereduktion
Jeg mene, at princippet om relativ stabilitet er et grundlæggende retsprincip for den fælles fiskeripolitik, og at der vil være juridisk belæg for at afviser et forslag om at undergraver dette princip|Jeg mener, at princippet om relativ stabilitet er et grundlæggende retsprincip for den fælles fiskeripolitik, og at der vil være juridisk belæg for at afvise et forslag om at undergrave dette princip
Jeg vil gerne vide, om man kan gør indsigelse mod noget, der bare er en betænkning og ikke et forslag til retsakt, og om det er noget, jeg kan gør på torsdag?|Jeg vil gerne vide, om man kan gøre indsigelse mod noget, der bare er en betænkning og ikke et forslag til retsakt, og om det er noget, jeg kan gøre på torsdag?
Det er netop dér, de - hvis de ønske det - kan rejser dette spørgsmål, det vil sige på torsdag ved forhandlingens begyndelse|Det er netop dér, de - hvis de ønsker det - kan rejse dette spørgsmål, det vil sige på torsdag ved forhandlingens begyndelse
Segni, det gøre jeg med glæde|Segni, det gør jeg med glæde
Fru formand, jeg vil gerne gør dem opmærksom på en sag, som parlamentet har beskæftiget sig med gentagne gange|Fru formand, jeg vil gerne gøre dem opmærksom på en sag, som parlamentet har beskæftiget sig med gentagne gange
Det dreje sig om alexander nikitin|Det drejer sig om alexander nikitin
Vi glæde os alle sammen over, at domstolen har frifundet ham og understreget, at adgangen til miljøinformationer også er konstitutionel ret i rusland|Vi glæder os alle sammen over, at domstolen har frifundet ham og understreget, at adgangen til miljøinformationer også er konstitutionel ret i rusland
Vi ved og har fastslået i virkelig mange beslutninger - netop på det sidste møde sidste år - at dette ikke bare er en juridisk sag, og at det er forkert at beskylder alexander nikitin for at have begået kriminalitet og forræderi, fordi vi som berørte nyde godt af hans resultater|Vi ved og har fastslået i virkelig mange beslutninger - netop på det sidste møde sidste år - at dette ikke bare er en juridisk sag, og at det er forkert at beskylde alexander nikitin for at have begået kriminalitet og forræderi, fordi vi som berørte nyder godt af hans resultater
Disse resultater er grundlaget for de europæiske programmer til beskyttelse af barentsee, og derfor bede jeg dem gennemgår et brevudkast, som beskrive de vigtigste fakta, og tydeliggør denne holdning i rusland i overensstemmelse med parlamentets beslutninger|Disse resultater er grundlaget for de europæiske programmer til beskyttelse af barentsee, og derfor beder jeg dem gennemgå et brevudkast, som beskriver de vigtigste fakta, og tydeliggøre denne holdning i rusland i overensstemmelse med parlamentets beslutninger
Ja, fru schroedter, jeg skal med glæde undersøger dette spørgsmål, når jeg har modtaget deres brev|Ja, fru schroedter, jeg skal med glæde undersøge dette spørgsmål, når jeg har modtaget deres brev
Fru formand, jeg vil gerne først giver dem en kompliment for den kendsgerning, at de har holdt deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år|Fru formand, jeg vil gerne først give dem en kompliment for den kendsgerning, at de har holdt deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år
Der er nu ganske vist to finske kanaler og en portugisisk kanal, men der er stadig ingen nederlandsk kanal, og jeg havde anmodet dem om en nederlandsk kanal, fordi også nederlændere gerne vil følger med i nyhederne hver måned, når vi forvises til dette sted|Der er nu ganske vist to finske kanaler og en portugisisk kanal, men der er stadig ingen nederlandsk kanal, og jeg havde anmodet dem om en nederlandsk kanal, fordi også nederlændere gerne vil følge med i nyhederne hver måned, når vi forvises til dette sted
Jeg vil således endnu en gang anmoder dem om alligevel at sørger for, at vi også få en nederlandsk kanal|Jeg vil således endnu en gang anmode dem om alligevel at sørge for, at vi også får en nederlandsk kanal
Fru plooij-van gorsel, jeg kan oplyser dem om, at dette spørgsmål er opført på dagsordenen for kvæstorernes møde på onsdag|Fru plooij-van gorsel, jeg kan oplyse dem om, at dette spørgsmål er opført på dagsordenen for kvæstorernes møde på onsdag
Det vil, håbe jeg, bliver behandlet i en positiv ånd|Det vil, håber jeg, blive behandlet i en positiv ånd
Fru formand, kan de fortæller mig, hvorfor parlamentet ikke overholde de lovgivningsbestemmelser om sundhed og sikkerhed, som det selv har fastsat?|Fru formand, kan de fortælle mig, hvorfor parlamentet ikke overholder de lovgivningsbestemmelser om sundhed og sikkerhed, som det selv har fastsat?
Det er fuldstændig skandaløst, at vi fastsætte lovgivningsbestemmelser og så ikke overholde dem selv|Det er fuldstændig skandaløst, at vi fastsætter lovgivningsbestemmelser og så ikke overholder dem selv
Fru lynne, de har fuldstændig ret, og jeg vil kontrollerer, om alle disse ting virkelig ikke er blevet gjort|Fru lynne, de har fuldstændig ret, og jeg vil kontrollere, om alle disse ting virkelig ikke er blevet gjort
Jeg vil ligeledes fremlægger problemet for kvæstorerne, og jeg er sikker på, at kvæstorerne vil bestræber sig på at sørger for, at vi overholde den lovgivning, vi vedtage|Jeg vil ligeledes fremlægge problemet for kvæstorerne, og jeg er sikker på, at kvæstorerne vil bestræbe sig på at sørge for, at vi overholder den lovgivning, vi vedtager
De kompetente tjenestegrene har ikke opført dem på dagsordenen, fordi de mene, at de blev besvaret ved et tidligere møde|De kompetente tjenestegrene har ikke opført dem på dagsordenen, fordi de mener, at de blev besvaret ved et tidligere møde
Jeg anmode om, at denne beslutning tages op til fornyet overvejelse, for det er ikke tilfældet|Jeg anmoder om, at denne beslutning tages op til fornyet overvejelse, for det er ikke tilfældet
Kære kolleger, vi vil undersøger alt dette|Kære kolleger, vi vil undersøge alt dette
Jeg må indrømmer, at det hele forekomme mig lidt forvirrende i øjeblikket|Jeg må indrømme, at det hele forekommer mig lidt forvirrende i øjeblikket
Derfor vil vi undersøger det meget omhyggeligt, således at alt er, som det skal være|Derfor vil vi undersøge det meget omhyggeligt, således at alt er, som det skal være
Fru formand, jeg vil gerne vide, om der komme en klar melding fra parlamentet i denne uge om vores utilfredshed i forbindelse med dagens beslutning om ikke at forlænger embargoen mod våbeneksport til indonesien i betragtning af, at et stort flertal i parlamentet tidligere har undertegnet våbenembargoen i indonesien|Fru formand, jeg vil gerne vide, om der kommer en klar melding fra parlamentet i denne uge om vores utilfredshed i forbindelse med dagens beslutning om ikke at forlænge embargoen mod våbeneksport til indonesien i betragtning af, at et stort flertal i parlamentet tidligere har undertegnet våbenembargoen i indonesien
Dagens beslutning om ikke at forlænger embargoen er meget farlig på grund af situationen der|Dagens beslutning om ikke at forlænge embargoen er meget farlig på grund af situationen der
Parlamentet bør derfor tilkendegiver sin holdning, da det er flertallets ønske|Parlamentet bør derfor tilkendegive sin holdning, da det er flertallets ønske
Det er uansvarligt af eu-medlemsstater at nægter at forlænger embargoen|Det er uansvarligt af eu-medlemsstater at nægte at forlænge embargoen
Så hvorfor skal våbenproducenter i eu profiterer på bekostning af uskyldige mennesker?|Så hvorfor skal våbenproducenter i eu profitere på bekostning af uskyldige mennesker?
Fru formand, forelæggelsen af prodi-kommissionens politiske program for hele valgperioden var til at begynder med et forslag fra de europæiske socialdemokraters gruppe, som opnåede enstemmighed på formandskonferencen i september|Fru formand, forelæggelsen af prodi-kommissionens politiske program for hele valgperioden var til at begynde med et forslag fra de europæiske socialdemokraters gruppe, som opnåede enstemmighed på formandskonferencen i september
Jeg vil også minder om, fru formand, at parlamentet to gange i foregående valgperiode ved afstemning gav udtryk for sin tillid til formand prodi|Jeg vil også minde om, fru formand, at parlamentet to gange i foregående valgperiode ved afstemning gav udtryk for sin tillid til formand prodi
Der har derfor været tid nok til, at kommissionen kunne forbereder sit program, og til at vi kunne får kendskab til det og forklarer det til borgerne|Der har derfor været tid nok til, at kommissionen kunne forberede sit program, og til at vi kunne få kendskab til det og forklare det til borgerne
I den forbindelse vil jeg minder om beslutningen fra 15. september, hvori der blev henstillet til, at forslaget blev forelagt hurtigst muligt|I den forbindelse vil jeg minde om beslutningen fra 15. september, hvori der blev henstillet til, at forslaget blev forelagt hurtigst muligt
Det, der skete i sidste uge - og som opstod uden for formandskonferencen, hvor den udelukkende blev brugt til at bekræfter og godkender beslutninger, som var truffet uden for den - skabe et dilemma: enten er kommissionen ikke i stand til at fremlægger det program|Det, der skete i sidste uge - og som opstod uden for formandskonferencen, hvor den udelukkende blev brugt til at bekræfte og godkende beslutninger, som var truffet uden for den - skaber et dilemma: enten er kommissionen ikke i stand til at fremlægge det program
Ifølge kommissionsformandens udsagn er de i stand til at gør det|Ifølge kommissionsformandens udsagn er de i stand til at gøre det
Eftersom kommissionen er repræsenteret af næstformanden, fru de palacio, mene jeg, at det før afstemningen ville være på sin plads at være på det rene med kommissionens situation, hvad angå dets vilje til at forelægger programmet, ligesom det var blevet aftalt|Eftersom kommissionen er repræsenteret af næstformanden, fru de palacio, mener jeg, at det før afstemningen ville være på sin plads at være på det rene med kommissionens situation, hvad angår dets vilje til at forelægge programmet, ligesom det var blevet aftalt
Eller også er parlamentet ikke i stand til at behandler dette program, som der vist er nogle, der påstå|Eller også er parlamentet ikke i stand til at behandle dette program, som der vist er nogle, der påstår
Efter min mening ville denne anden hypotese være det samme som at giver afkald på vores ansvar som parlament og desuden at indfører en original teori, en ukendt metode, der bestå i skriftligt at giver de politiske grupper kendskab til kommissionens program en uge før - og ikke dagen før, som det var aftalen - i betragtning af, at lovgivningsprogrammet skal diskuteres i februar, således at vi kunne springer forhandlingen over, fordi pressen og internettet dagen efter havde givet alle borgerne kendskab til det, og parlamentet ville ikke længere behøver at bekymrer sig om sagen|Efter min mening ville denne anden hypotese være det samme som at give afkald på vores ansvar som parlament og desuden at indføre en original teori, en ukendt metode, der består i skriftligt at give de politiske grupper kendskab til kommissionens program en uge før - og ikke dagen før, som det var aftalen - i betragtning af, at lovgivningsprogrammet skal diskuteres i februar, således at vi kunne springe forhandlingen over, fordi pressen og internettet dagen efter havde givet alle borgerne kendskab til det, og parlamentet ville ikke længere behøve at bekymre sig om sagen
Derfor gå det forslag, som de europæiske socialdemokraters gruppe stille, og som de har nævnt, ud på, at vi holde fast ved forelæggelsen af prodi-kommissionens program for valgperioden på onsdag, og at dette program også omfatte forslaget til administrativ reform, for hvis det ikke blive sådan, kan vi kommer i en paradoksal situation: med en undskyldning om at der ikke er en tekst, nægtes formanden for kommissionen på den ene side retten til at taler i parlamentet, og på den anden side forhindres det, at der finde en forhandling sted om reformen, uden at parlamentet på forhånd kende de tekster, som den er baseret på.|Derfor går det forslag, som de europæiske socialdemokraters gruppe stiller, og som de har nævnt, ud på, at vi holder fast ved forelæggelsen af prodi-kommissionens program for valgperioden på onsdag, og at dette program også omfatter forslaget til administrativ reform, for hvis det ikke bliver sådan, kan vi komme i en paradoksal situation: med en undskyldning om at der ikke er en tekst, nægtes formanden for kommissionen på den ene side retten til at tale i parlamentet, og på den anden side forhindres det, at der finder en forhandling sted om reformen, uden at parlamentet på forhånd kender de tekster, som den er baseret på.
Derfor, fru formand, anmode jeg dem om at beder kommissionen om at udtaler sig nu, og at vi derefter gå over til afstemning|Derfor, fru formand, anmoder jeg dem om at bede kommissionen om at udtale sig nu, og at vi derefter går over til afstemning
Han forlange nu, at dette punkt sættes på dagsordenen for onsdag|Han forlanger nu, at dette punkt sættes på dagsordenen for onsdag
Barón crespo, de kunne ikke deltager den sidste torsdag på formandskonferencen|Barón crespo, de kunne ikke deltage den sidste torsdag på formandskonferencen
Det kritisere jeg ikke, for det sker af og til, at man lade sig repræsenterer|Det kritiserer jeg ikke, for det sker af og til, at man lader sig repræsentere
