wrong|correct
Så vidt jeg huske, faldt denne afstemning således ud: 422 mod 180 stemmer og nogle få, der undlod at stemmer|Så vidt jeg husker, faldt denne afstemning således ud: 422 mod 180 stemmer og nogle få, der undlod at stemme
Det vil siger, at alle grupper med undtagelse af løsgængerne - men de udgøre jo ikke nogen gruppe - var enige, kun deres gruppe mente, at man skulle bærer sig sådan ad, som de har foreslået her|Det vil sige, at alle grupper med undtagelse af løsgængerne - men de udgør jo ikke nogen gruppe - var enige, kun deres gruppe mente, at man skulle bære sig sådan ad, som de har foreslået her
Nu vil jeg gerne siger noget til selve sagen|Nu vil jeg gerne sige noget til selve sagen
Vi har tillid til kommissionen, til romano prodi, og flertallet i vores gruppe har udtrykt tillid til romano prodi og kommissionen efter en vanskelig proces, som alle kende til|Vi har tillid til kommissionen, til romano prodi, og flertallet i vores gruppe har udtrykt tillid til romano prodi og kommissionen efter en vanskelig proces, som alle kender til
Men vi mene også, at vi skal have en debat om kommissionens strategi i en ordinær procedure, ikke kun på baggrund af en mundtlig forklaring her i europa-parlamentet, men også på baggrund af et dokument, som er blevet besluttet i kommissionen, og som beskrive dette program for fem år|Men vi mener også, at vi skal have en debat om kommissionens strategi i en ordinær procedure, ikke kun på baggrund af en mundtlig forklaring her i europa-parlamentet, men også på baggrund af et dokument, som er blevet besluttet i kommissionen, og som beskriver dette program for fem år
Kommissionen vil fremlægger programmet for år 2000 til februar|Kommissionen vil fremlægge programmet for år 2000 til februar
Vi har sagt, at hvis kommissionen ikke ønske at laver programmet for år 2000 i januar, så gøre vi det i februar|Vi har sagt, at hvis kommissionen ikke ønsker at lave programmet for år 2000 i januar, så gør vi det i februar
Vi ønske sådan set ikke nogen konflikt med kommissionen, vi mene derimod, at hvis det gå, skal kommissionen og parlamentet går samme vej|Vi ønsker sådan set ikke nogen konflikt med kommissionen, vi mener derimod, at hvis det går, skal kommissionen og parlamentet gå samme vej
Og ikke alt, hvad der komme fra kommissionen, skal nødvendigvis være i overensstemmelse med os|Og ikke alt, hvad der kommer fra kommissionen, skal nødvendigvis være i overensstemmelse med os
Jeg vil gerne have, at vi få mulighed for at forbereder os fornuftigt på en debat om femårsprogrammet i grupperne|Jeg vil gerne have, at vi får mulighed for at forberede os fornuftigt på en debat om femårsprogrammet i grupperne
Man kan ikke forbereder sig, hvis man høre en forklaring her og slet ikke ved, hvad indholdet af en sådan forklaring er|Man kan ikke forberede sig, hvis man hører en forklaring her og slet ikke ved, hvad indholdet af en sådan forklaring er
Derfor anbefale vi - og det er mit indtryk, at kommissionen også er åben over for denne tanke - at vi føre debatten om kommissionens langsigtede program frem til år 2005 i februar - jeg håbe også, at kommissionen er blevet enig om et program til den tid, som den vil foreslår os - og at vi samtidig føre en debat om kommissionens lovgivningsprogram for år 2000 i februar|Derfor anbefaler vi - og det er mit indtryk, at kommissionen også er åben over for denne tanke - at vi fører debatten om kommissionens langsigtede program frem til år 2005 i februar - jeg håber også, at kommissionen er blevet enig om et program til den tid, som den vil foreslå os - og at vi samtidig fører en debat om kommissionens lovgivningsprogram for år 2000 i februar
Det er således også en fornuftig saglig sammenhæng, som råde os til at fører debatten om begge programmer i fællesskab|Det er således også en fornuftig saglig sammenhæng, som råder os til at føre debatten om begge programmer i fællesskab
Derfor afvise min gruppe på det bestemteste den socialdemokratiske gruppes forslag!|Derfor afviser min gruppe på det bestemteste den socialdemokratiske gruppes forslag!
Fru formand, jeg vil gør det meget klart, at kommissionen først og fremmest har den største respekt for parlamentets beslutninger, deriblandt opstillingen af dagsordenen|Fru formand, jeg vil gøre det meget klart, at kommissionen først og fremmest har den største respekt for parlamentets beslutninger, deriblandt opstillingen af dagsordenen
Derfor respektere vi parlamentets beslutning, hvad det angå|Derfor respekterer vi parlamentets beslutning, hvad det angår
Prodi aftalte med parlamentet at indfører en ny forhandling|Prodi aftalte med parlamentet at indføre en ny forhandling
Jeg vil siger, fru formand, at denne forhandling i den aftaler, som blev indgået i september, adskilte sig fra kommissionens årlige forelæggelse af programmet for lovgivningen|Jeg vil sige, fru formand, at denne forhandling i den aftale, som blev indgået i september, adskilte sig fra kommissionens årlige forelæggelse af programmet for lovgivningen
Og jeg vil siger, fru formand, at vi i kommissionen er forberedt på og reder til at deltager i den forhandling, når det er belejligt, at vi var reder til at gennemfører den i denne uge, som det var aftalt fra begyndelsen, med udgangspunkt i at den blev forelagt dagen før i en taler til de parlamentariske grupper|Og jeg vil sige, fru formand, at vi i kommissionen er forberedt på og rede til at deltage i den forhandling, når det er belejligt, at vi var rede til at gennemføre den i denne uge, som det var aftalt fra begyndelsen, med udgangspunkt i at den blev forelagt dagen før i en tale til de parlamentariske grupper
Jeg vil derfor gentager, fru formand, at vi for vores del har diskuteret handlingsprogrammet for de kommende fem år, og at vi er reder til, når parlamentet bestemme det - i denne uge, hvis det er beslutningen - at kommer og forelægger programmet for de kommende fem år og i næste måned programmet for 2000, hvilket er helt i overensstemmelse med aftalen|Jeg vil derfor gentage, fru formand, at vi for vores del har diskuteret handlingsprogrammet for de kommende fem år, og at vi er rede til, når parlamentet bestemmer det - i denne uge, hvis det er beslutningen - at komme og forelægge programmet for de kommende fem år og i næste måned programmet for 2000, hvilket er helt i overensstemmelse med aftalen
Jeg foreslå, at vi stemme om pse-gruppens anmodning om at får en redegørelse fra kommissionen om dens strategiske mål genopført på dagsordenen|Jeg foreslår, at vi stemmer om pse-gruppens anmodning om at få en redegørelse fra kommissionen om dens strategiske mål genopført på dagsordenen
Ppe-de-gruppen ønske, at dette punkt tages af dagsordenen|Ppe-de-gruppen ønsker, at dette punkt tages af dagsordenen
Ønske nogen at tager ordet på vegne af gruppen for at begrunder denne anmodning?|Ønsker nogen at tage ordet på vegne af gruppen for at begrunde denne anmodning?
Med øget fokus på miljøbevidsthed og et ønske om at mindsker vores påvirkning af planeten, søge mange mennesker alternativer til traditionel modeindustri|Med øget fokus på miljøbevidsthed og et ønske om at mindske vores påvirkning af planeten, søger mange mennesker alternativer til traditionel modeindustri
Bæredygtig mode handle om at producerer tøj på en måde, der tage hensyn til miljøet, arbejdsforholdene og dyrevelfærd|Bæredygtig mode handler om at producere tøj på en måde, der tager hensyn til miljøet, arbejdsforholdene og dyrevelfærd
I dag er der flere bæredygtige modebrands, der tilbyde produkter fremstillet af genanvendte materialer, økologisk dyrkede fibre og fair trade-principper|I dag er der flere bæredygtige modebrands, der tilbyder produkter fremstillet af genanvendte materialer, økologisk dyrkede fibre og fair trade-principper
Disse brands stræber efter at minimerer deres co2-aftryk og reducerer affald ved at bruger genbrugte materialer og implementerer cirkulære produktionsmetoder|Disse brands stræber efter at minimere deres co2-aftryk og reducere affald ved at bruge genbrugte materialer og implementere cirkulære produktionsmetoder
Forbrugerne spille også en vigtig rolle i bæredygtig mode|Forbrugerne spiller også en vigtig rolle i bæredygtig mode
Mange mennesker vælge at køber brugt tøj, reparerer og genbruger deres garderobe og være mere bevidste om deres forbrugsvaner|Mange mennesker vælger at købe brugt tøj, reparere og genbruge deres garderobe og være mere bevidste om deres forbrugsvaner
Der er også en stigende tendens til at vælger tidløse stykker af høj kvalitet frem for hurtig mode, der hurtigt gå af mode|Der er også en stigende tendens til at vælge tidløse stykker af høj kvalitet frem for hurtig mode, der hurtigt går af mode
Bæredygtig mode er ikke kun en trend, men en nødvendighed i vores stræben efter at bevarer planeten|Bæredygtig mode er ikke kun en trend, men en nødvendighed i vores stræben efter at bevare planeten
Ved at støtter bæredygtige modebrands og træffer bevidste valg som forbrugere kan vi bidrager til at skabe en mere bæredygtig fremtid|Ved at støtte bæredygtige modebrands og træffe bevidste valg som forbrugere kan vi bidrage til at skabe en mere bæredygtig fremtid
I dagens moderne samfund, hvor mange mennesker føre en stillesiddende livsstil og er udsat for stress, er det vigtigt at finder tid til at prioriterer motion og sundhed|I dagens moderne samfund, hvor mange mennesker fører en stillesiddende livsstil og er udsat for stress, er det vigtigt at finde tid til at prioritere motion og sundhed
Det styrke vores hjerte og kredsløbssystem, forbedre vores muskelstyrke og udholdenhed og hjælpe med at opretholder en sund kropsvægt|Det styrker vores hjerte og kredsløbssystem, forbedrer vores muskelstyrke og udholdenhed og hjælper med at opretholde en sund kropsvægt
Motion frigive også endorfiner, som er kroppens naturlige lykkehormoner, der kan hjælpe med at reducerer stress og forbedrer vores humør|Motion frigiver også endorfiner, som er kroppens naturlige lykkehormoner, der kan hjælpe med at reducere stress og forbedre vores humør
Nogle foretrække at dyrker sport som løb, cykling eller svømning, mens andre foretrække mere afslappende aktiviteter som yoga eller vandreture|Nogle foretrækker at dyrke sport som løb, cykling eller svømning, mens andre foretrækker mere afslappende aktiviteter som yoga eller vandreture
Det vigtigste er at finder en form for motion, der passe til ens egen smag og behov|Det vigtigste er at finde en form for motion, der passer til ens egen smag og behov
En sund livsstil handle ikke kun om motion, men også om at spiser en balanceret kost og få tilstrækkelig hvile og søvn|En sund livsstil handler ikke kun om motion, men også om at spise en balanceret kost og få tilstrækkelig hvile og søvn
Digitaliseringen har haft en betydelig indvirkning på vores samfund og har ændret måden, vi arbejde på. i dagens moderne arbejdsmarked er digitale færdigheder og teknologisk kompetence afgørende for succes|Digitaliseringen har haft en betydelig indvirkning på vores samfund og har ændret måden, vi arbejder på. i dagens moderne arbejdsmarked er digitale færdigheder og teknologisk kompetence afgørende for succes
Digitaliseringen har gjort det muligt for os at arbejder mere effektivt og fleksibelt|Digitaliseringen har gjort det muligt for os at arbejde mere effektivt og fleksibelt
Vi har adgang til avancerede værktøjer og teknologier, der hjælpe os med at automatiserer opgaver, kommunikerer hurtigt og effektivt samt får adgang til information og ressourcer på et øjeblik|Vi har adgang til avancerede værktøjer og teknologier, der hjælper os med at automatisere opgaver, kommunikere hurtigt og effektivt samt få adgang til information og ressourcer på et øjeblik
Nogle traditionelle jobfunktioner er blevet automatiseret, hvilket har krævet, at arbejdstagere opgradere deres færdigheder og tilpasse sig til nye jobroller|Nogle traditionelle jobfunktioner er blevet automatiseret, hvilket har krævet, at arbejdstagere opgraderer deres færdigheder og tilpasser sig til nye jobroller
Evnen til at lærer og tilpasser sig nye teknologier bliver stadig vigtigere i fremtidens arbejdsmarked|Evnen til at lære og tilpasse sig nye teknologier bliver stadig vigtigere i fremtidens arbejdsmarked
Samtidig åbne digitaliseringen også nye muligheder|Samtidig åbner digitaliseringen også nye muligheder
Vi se fremkomsten af nye job inden for teknologi og digitale industrier, som kræve specialiserede færdigheder som dataanalyse, kunstig intelligens og softwareudvikling|Vi ser fremkomsten af nye job inden for teknologi og digitale industrier, som kræver specialiserede færdigheder som dataanalyse, kunstig intelligens og softwareudvikling
Det er også vigtigt at nævner, at digitaliseringen har ændret måden, vi arbejde på. fjernarbejde og digitale samarbejdsværktøjer er blevet mere udbredt, hvilket har gjort det muligt for mennesker at arbejder på tværs af geografiske grænser og have mere fleksibilitet i deres arbejdsliv|Det er også vigtigt at nævne, at digitaliseringen har ændret måden, vi arbejder på. fjernarbejde og digitale samarbejdsværktøjer er blevet mere udbredt, hvilket har gjort det muligt for mennesker at arbejde på tværs af geografiske grænser og have mere fleksibilitet i deres arbejdsliv
I fremtiden vil digitaliseringen sandsynligvis fortsætte med at påvirker vores arbejdsmarked|I fremtiden vil digitaliseringen sandsynligvis fortsætte med at påvirke vores arbejdsmarked
Det er afgørende, at vi fortsætte med at udvikler vores digitale færdigheder og være åbne for læring og tilpasning for at forbliver relevante og konkurrencedygtige i det digitale tidsalder|Det er afgørende, at vi fortsætter med at udvikle vores digitale færdigheder og være åbne for læring og tilpasning for at forblive relevante og konkurrencedygtige i det digitale tidsalder
Med befolkningens vækst og øget forbrug stå vi over for store udfordringer i forhold til håndtering og bortskaffelse af affald|Med befolkningens vækst og øget forbrug står vi over for store udfordringer i forhold til håndtering og bortskaffelse af affald
Skrald er blevet et globalt problem, der påvirke vores miljø og økosystemer negativt|Skrald er blevet et globalt problem, der påvirker vores miljø og økosystemer negativt
Plastikforurening fylde vores have, floder og verdenshavene, og affaldsdeponier bidrage til luftforurening og jordforurening|Plastikforurening fylder vores have, floder og verdenshavene, og affaldsdeponier bidrager til luftforurening og jordforurening
Derfor er der behov for innovativ tænkning og handling for at reducerer, genbruger og genanvender affaldet|Derfor er der behov for innovativ tænkning og handling for at reducere, genbruge og genanvende affaldet
Disse materialer er designet til at nedbrydes naturligt og reducerer den langsigtede belastning på miljøet|Disse materialer er designet til at nedbrydes naturligt og reducere den langsigtede belastning på miljøet
Der er også fokus på at udvikler mere effektive og bæredygtige genbrugs- og genanvendelsesmetoder|Der er også fokus på at udvikle mere effektive og bæredygtige genbrugs- og genanvendelsesmetoder
Avanceret teknologi som robotter og automatisering bruges til at sorterer og genanvender affald mere præcist og effektivt|Avanceret teknologi som robotter og automatisering bruges til at sortere og genanvende affald mere præcist og effektivt
Desuden er der en stigende interesse for at fremmer cirkulær økonomi, hvor affald blive til ressourcer|Desuden er der en stigende interesse for at fremme cirkulær økonomi, hvor affald bliver til ressourcer
Dette indebære at skaber et system, hvor produkter og materialer genanvendes, repareres eller genbruges i stedet for at ender som affald|Dette indebærer at skabe et system, hvor produkter og materialer genanvendes, repareres eller genbruges i stedet for at ende som affald
Virksomheder og iværksættere spiller en vigtig rolle i denne proces ved at udvikler innovative forretningsmodeller og produkter, der fremme bæredygtighed og affaldsminimering|Virksomheder og iværksættere spiller en vigtig rolle i denne proces ved at udvikle innovative forretningsmodeller og produkter, der fremmer bæredygtighed og affaldsminimering
Et eksempel på affaldsinnovation er udviklingen af ​​genanvendelige emballageløsninger, der reducere behovet for engangsplastik|Et eksempel på affaldsinnovation er udviklingen af ​​genanvendelige emballageløsninger, der reducerer behovet for engangsplastik
Der er også initiativer til at omdanner organisk affald til biogas eller kompost, hvilket bidrage til både energiproduktion og jordforbedring|Der er også initiativer til at omdanne organisk affald til biogas eller kompost, hvilket bidrager til både energiproduktion og jordforbedring
Desuden se vi en stigning i genbrug af materialer som glas, papir og metal, hvilket spare ressourcer og reducere miljøpåvirkningen|Desuden ser vi en stigning i genbrug af materialer som glas, papir og metal, hvilket sparer ressourcer og reducerer miljøpåvirkningen
Mange mennesker blive mere opmærksomme på deres affaldsaftryk og træffe bevidste valg for at reducerer det|Mange mennesker bliver mere opmærksomme på deres affaldsaftryk og træffer bevidste valg for at reducere det
Esport er blevet en globalt anerkendt og voksende industri, der fusionere konkurrence, teknologi og underholdning|Esport er blevet en globalt anerkendt og voksende industri, der fusionerer konkurrence, teknologi og underholdning
Det har skabt en ny form for sportsverden, hvor professionelle spillere konkurrere i videospil på internationalt niveau|Det har skabt en ny form for sportsverden, hvor professionelle spillere konkurrerer i videospil på internationalt niveau
Turneringer og konkurrencer arrangeres regelmæssigt både online og offline, hvor hold eller individuelle spillere kæmpe om store præmiepenge og anerkendelse|Turneringer og konkurrencer arrangeres regelmæssigt både online og offline, hvor hold eller individuelle spillere kæmper om store præmiepenge og anerkendelse
Det tiltrække et bredt spektrum af mennesker, uanset alder, køn eller baggrund|Det tiltrækker et bredt spektrum af mennesker, uanset alder, køn eller baggrund
Det har også vist sig at have potentialet til at forener mennesker på tværs af kulturer og nationaliteter, da spillere fra forskellige lande konkurrere og samarbejde i teams|Det har også vist sig at have potentialet til at forene mennesker på tværs af kulturer og nationaliteter, da spillere fra forskellige lande konkurrerer og samarbejder i teams
Der er esportsorganisationer og hold, der ansætte trænere, analytikere og supportpersonale for at optimerer spillernes præstationer|Der er esportsorganisationer og hold, der ansætter trænere, analytikere og supportpersonale for at optimere spillernes præstationer
Desuden har sponsorer og investorer vist interesse for esport og investerer i teams og begivenheder for at drager fordel af den voksende popularitet|Desuden har sponsorer og investorer vist interesse for esport og investerer i teams og begivenheder for at drage fordel af den voksende popularitet
Den teknologiske udvikling inden for esport påvirke også den bredere gamingindustri og inspirerer nye innovationer|Den teknologiske udvikling inden for esport påvirker også den bredere gamingindustri og inspirerer nye innovationer
I fremtiden forventes esport at fortsætter med at vokser og bliver endnu mere mainstream|I fremtiden forventes esport at fortsætte med at vokse og blive endnu mere mainstream
Esport vil fortsat være en dynamisk og spændende arena, hvor talenter kan blomstrer, og hvor gamingkulturen kan trives|Esport vil fortsat være en dynamisk og spændende arena, hvor talenter kan blomstre, og hvor gamingkulturen kan trives
Det er en park, der strække sig over store grønne områder, med træer, blomsterbede og velplejede stier|Det er en park, der strækker sig over store grønne områder, med træer, blomsterbede og velplejede stier
Parken er et fristed, hvor folk kan slipper væk fra hverdagens hektiske tempo og finder fred og fornyelse i naturen|Parken er et fristed, hvor folk kan slippe væk fra hverdagens hektiske tempo og finde fred og fornyelse i naturen
Når man træde ind i parken, blive man straks mødt af duften af ​​friske blomster og lyden af ​​fuglesang|Når man træder ind i parken, bliver man straks mødt af duften af ​​friske blomster og lyden af ​​fuglesang
Solens stråler filtreres gennem trækronerne og skabe et spil af lys og skygge på græsplænen|Solens stråler filtreres gennem trækronerne og skaber et spil af lys og skygge på græsplænen
Børn lege og grine på legepladsen, mens familier slappe af på tæpper og nyde en picnic frokost|Børn leger og griner på legepladsen, mens familier slapper af på tæpper og nyder en picnic frokost
Det er som at træder ind i en anden verden, hvor stress og bekymringer forsvinde|Det er som at træde ind i en anden verden, hvor stress og bekymringer forsvinder
Bier summe rundt, og sommerfugle danse elegant mellem blomsterne|Bier summer rundt, og sommerfugle danser elegant mellem blomsterne
Den er fyldt med liv, med ænder og svaner, der svømme roligt i vandet|Den er fyldt med liv, med ænder og svaner, der svømmer roligt i vandet
I parkens hjerte finde man et hyggeligt caféområde|I parkens hjerte finder man et hyggeligt caféområde
Her kan man sidder ved udendørs borde og nyde en kop varm kaffe eller en forfriskende iste|Her kan man sidde ved udendørs borde og nyde en kop varm kaffe eller en forfriskende iste
Folk chatte og grine, mens de nyde deres drikkevarer og snacks|Folk chatter og griner, mens de nyder deres drikkevarer og snacks
Det er det perfekte sted at mødes med venner eller bare sidder alene og reflekterer over livets små øjeblikke|Det er det perfekte sted at mødes med venner eller bare sidde alene og reflektere over livets små øjeblikke
Løbere træne deres udholdenhed på stierne, yogaentusiaster finde et roligt hjørne til deres praksis, og sportsentusiaster samles på boldbanerne for at spiller fodbold eller basketball|Løbere træner deres udholdenhed på stierne, yogaentusiaster finder et roligt hjørne til deres praksis, og sportsentusiaster samles på boldbanerne for at spille fodbold eller basketball
Parken er et levende sted, hvor folk komme sammen for at dyrker deres lidenskaber og nyde godt af det sunde udendørsliv|Parken er et levende sted, hvor folk kommer sammen for at dyrke deres lidenskaber og nyde godt af det sunde udendørsliv
Uanset om man er på udkig efter en stille stund alene, en sjov dag med familien eller bare en pause fra byens larm, er parken det perfekte sted at finder det|Uanset om man er på udkig efter en stille stund alene, en sjov dag med familien eller bare en pause fra byens larm, er parken det perfekte sted at finde det
Den tilbyde en verden af ​​muligheder og skabe minder, der vare ved|Den tilbyder en verden af ​​muligheder og skaber minder, der varer ved
Så næste gang du har brug for en pause, gå ind i parken, ånd dybt og lad naturens skønhed omfavner dig|Så næste gang du har brug for en pause, gå ind i parken, ånd dybt og lad naturens skønhed omfavne dig
